ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;method;best cf index;order;dataset
37;300.0;0.5;1438.151258;112.73705482939613;0.5456477999687195;True;;0.6992221596322579;0.6498446374318543;0.5308413752188869;0.039009283046330334;0.1402275704183228;0.23312198629449676;24.0;0.08;0.7282266616821289;AB-CF;0;1;BasicMotions
38;360.0;0.6;1769.651875;126.6525312233045;0.772456169128418;True;;0.714298444439611;0.651990558892745;0.48611332569693244;0.04135413365580021;0.11063443290686581;0.33926120035340285;24.0;0.08;0.7102291584014893;AB-CF;0;1;BasicMotions
39;;;;;;False;;;;;;;;;;0.6395487785339355;AB-CF;0;1;BasicMotions
0;68.0;0.11333333333333333;170.033452;25.600686034931215;0.6671586036682129;True;1.0;0.12661208649299016;0.03897745909851548;2.1727830035768062e-16;0.04304010509639415;0.0;0.0;2.0;0.006666666666666667;136.91833806037903;Multi-SpaCE ($p^p=0.75$);4;2;BasicMotions
1;85.0;0.14166666666666666;199.660079;24.081327454098517;0.9681983590126038;True;1.0;0.1205647072554212;0.01384231717080137;2.1727830035768062e-16;0.0737492486547134;0.001068582062681062;2.1727830035768062e-16;1.0;0.0033333333333333335;146.7070348262787;Multi-SpaCE ($p^p=0.75$);11;2;BasicMotions
2;65.0;0.10833333333333334;167.879558;23.44383788158402;0.6598351001739502;True;1.0;0.13920641429210798;0.029426157728821418;2.1727830035768062e-16;0.05209545921430092;0.0;2.1727830035768062e-16;5.0;0.016666666666666666;160.09705138206482;Multi-SpaCE ($p^p=0.75$);4;2;BasicMotions
3;69.0;0.115;169.179414;23.137213054601887;0.8622044920921326;True;1.0;0.12218817185404947;0.03576357475953915;2.1727830035768062e-16;0.05184557503826688;0.0007992780522155241;0.0;1.0;0.0033333333333333335;135.82756090164185;Multi-SpaCE ($p^p=0.75$);7;2;BasicMotions
4;79.0;0.13166666666666665;163.0388;21.511133462086093;0.6570879220962524;True;1.0;0.12478372486316198;0.029064132457465808;0.0;0.05256015089728541;0.0;0.0;4.0;0.013333333333333334;63.010502338409424;Multi-SpaCE ($p^p=0.75$);10;2;BasicMotions
5;71.0;0.11833333333333333;175.75030299999997;23.465868193562347;0.9456219673156738;True;1.0;0.11491260333307933;0.029984562623093777;2.1727830035768062e-16;0.05091328432677658;0.0;0.0;1.0;0.0033333333333333335;136.98952746391296;Multi-SpaCE ($p^p=0.75$);42;2;BasicMotions
6;104.0;0.17333333333333334;197.751641;24.010937122991244;0.5548744201660156;True;1.0;0.11121184471363389;0.05556010666020976;2.1727830035768062e-16;0.05992151791821009;0.03218197911914709;2.1727830035768062e-16;2.0;0.006666666666666667;145.13842511177063;Multi-SpaCE ($p^p=0.75$);1;2;BasicMotions
7;108.0;0.18;180.18540000000002;22.610392046731697;0.7422182559967041;True;1.0;0.12770673969962024;0.059564451538987755;2.1727830035768062e-16;0.06455322815532537;0.025569212442053735;2.1727830035768062e-16;9.0;0.03;142.8287534713745;Multi-SpaCE ($p^p=0.75$);4;2;BasicMotions
8;85.0;0.14166666666666666;187.696023;24.53233220677062;0.9386942982673645;True;1.0;0.12739037296878908;0.03905063051736309;2.1727830035768062e-16;0.06236984497494924;0.010111476162627;0.0;3.0;0.01;141.73420810699463;Multi-SpaCE ($p^p=0.75$);54;2;BasicMotions
9;71.0;0.11833333333333333;152.303416;19.98874073675448;0.7831200361251831;True;1.0;0.11376195512671274;0.004953406848400323;2.1727830035768062e-16;0.05483407030804882;0.00591709360734606;0.0;1.0;0.0033333333333333335;60.23013877868652;Multi-SpaCE ($p^p=0.75$);86;2;BasicMotions
10;119.0;0.19833333333333333;1113.2277629999999;113.54461015190965;0.815873384475708;True;1.0;0.5554990195176797;0.47272702303106395;0.14614995168661735;0.08768481392255978;0.0;0.0;2.0;0.006666666666666667;109.14166188240051;Multi-SpaCE ($p^p=0.75$);8;2;BasicMotions
11;149.0;0.24833333333333332;1621.775143;143.96395888978896;0.9045674204826355;True;1.0;0.5930510549621966;0.49896394299818253;0.07296533603350264;0.028929404088379962;0.0;0.0;2.0;0.006666666666666667;116.08824396133423;Multi-SpaCE ($p^p=0.75$);31;2;BasicMotions
12;218.0;0.36333333333333334;1529.379844;125.81292655062971;0.5972127318382263;True;1.0;0.36575204893240554;0.49127570017618316;0.18964816917956073;0.0;0.0;0.0;4.0;0.013333333333333334;115.38721179962158;Multi-SpaCE ($p^p=0.75$);3;2;BasicMotions
13;125.0;0.20833333333333334;1266.469544;125.69621673740988;0.8312719464302063;True;1.0;0.6309293535572251;0.720951345107927;0.17189266202683615;0.11079850181521989;0.0;0.0;2.0;0.006666666666666667;117.4189441204071;Multi-SpaCE ($p^p=0.75$);27;2;BasicMotions
14;209.0;0.34833333333333333;1524.155448;128.38067228263142;0.45041489601135254;True;1.0;0.38833336391155443;0.4286198535770937;0.24022673577633188;0.0;0.0;0.0;4.0;0.013333333333333334;113.02913665771484;Multi-SpaCE ($p^p=0.75$);4;2;BasicMotions
15;224.0;0.37333333333333335;1852.582073;154.7521284231016;0.5073671936988831;True;1.0;0.38183568235576154;0.5214758035109304;0.22945228481008867;0.0;0.0;0.0;4.0;0.013333333333333334;113.1469931602478;Multi-SpaCE ($p^p=0.75$);0;2;BasicMotions
16;176.0;0.29333333333333333;1628.218191;140.59527458281335;0.9332277774810791;True;1.0;0.5215884273777822;0.522570099925919;0.17259245397869696;0.0;0.0;0.0;3.0;0.01;113.30105495452881;Multi-SpaCE ($p^p=0.75$);8;2;BasicMotions
17;202.0;0.33666666666666667;1778.696221;150.39838428091863;0.37102165818214417;True;1.0;0.4534648067332102;0.5044080106896722;0.2451484287186242;0.0;0.0;0.0;6.0;0.02;115.8319582939148;Multi-SpaCE ($p^p=0.75$);98;2;BasicMotions
18;167.0;0.2783333333333333;1541.177268;141.89018905248537;0.5822709798812866;True;1.0;0.6288430365878291;0.7338975724466162;0.27040188465707843;0.06294339183981523;0.0;0.0;4.0;0.013333333333333334;116.03133821487427;Multi-SpaCE ($p^p=0.75$);17;2;BasicMotions
19;203.0;0.3383333333333333;1684.044379;143.01812680033566;0.6662582159042358;True;1.0;0.3544304733313878;0.38224967888299094;0.00736880517681115;0.0;0.0;0.0;4.0;0.013333333333333334;110.96880841255188;Multi-SpaCE ($p^p=0.75$);35;2;BasicMotions
